# omega0=1.00, alpha=0.20
# theta0=-0.80, theta_dot0=0.12
# t_start=0.00, t_end=250.00, h=0.01
#   t          x(t)                 v(t)       
2.059488517353359e+01 -1.361320367866137e+01 9.236565461801310e-01
2.071124045699989e+01 -1.350040252228212e+01 1.014783786993270e+00
2.082759574046620e+01 -1.337720010837309e+01 1.102106221329113e+00
2.094395102393250e+01 -1.324415886929480e+01 1.183544938816725e+00
2.106030630739881e+01 -1.310208815059969e+01 1.256955859775494e+00
2.117666159086511e+01 -1.295204376293725e+01 1.320273010089092e+00
2.129301687433142e+01 -1.279530931034439e+01 1.371675837401402e+00
2.140937215779772e+01 -1.263335758147200e+01 1.409760661077602e+00
2.152572744126403e+01 -1.246779298280944e+01 1.433690577764608e+00
2.164208272473033e+01 -1.230027906414577e+01 1.443297789892007e+00
2.175843800819664e+01 -1.213245790712828e+01 1.439118750917576e+00
2.187479329166294e+01 -1.196586976344133e+01 1.422354698193627e+00
2.199114857512925e+01 -1.180188134871102e+01 1.394764696969809e+00
2.210750385859555e+01 -1.164162960137635e+01 1.358510828578158e+00
2.222385914206186e+01 -1.148598496433254e+01 1.315982061039668e+00
2.234021442552816e+01 -1.133553509348020e+01 1.269623355413174e+00
2.245656970899447e+01 -1.119058709500687e+01 1.221790872738655e+00
2.257292499246077e+01 -1.105118445597022e+01 1.174645473604172e+00
2.268928027592708e+01 -1.091713393520975e+01 1.130087935715389e+00
2.280563555939338e+01 -1.078803770517545e+01 1.089732487059997e+00
2.292199084285969e+01 -1.066332669513891e+01 1.054911183438497e+00
2.303834612632599e+01 -1.054229206434477e+01 1.026700167854495e+00
2.315470140979230e+01 -1.042411276927067e+01 1.005959210277335e+00
2.327105669325860e+01 -1.030787811633600e+01 9.933772950013664e-01
2.338741197672491e+01 -1.019260493592193e+01 9.895186948989328e-01
2.350376726019121e+01 -1.007724956989935e+01 9.948654753979035e-01
2.362012254365752e+01 -9.960715269354145e+00 1.009853449558190e+00
2.373647782712382e+01 -9.841855908469359e+00 1.034899155782397e+00
2.385283311059013e+01 -9.719477197472299e+00 1.070415437584481e+00
2.396918839405643e+01 -9.592336883656840e+00 1.116812704454955e+00
2.408554367752274e+01 -9.459145820112154e+00 1.174482016628714e+00
2.420189896098904e+01 -9.318572300434115e+00 1.243754904324309e+00
2.431825424445535e+01 -9.169252724294127e+00 1.324833585908528e+00
2.443460952792165e+01 -9.009812446192827e+00 1.417684541376756e+00
2.455096481138796e+01 -8.838901452768955e+00 1.521889221768907e+00
2.466732009485427e+01 -8.655250047733681e+00 1.636449629679988e+00
2.478367537832057e+01 -8.457749510843822e+00 1.759555778057731e+00
2.490003066178688e+01 -8.245560984426721e+00 1.888338865974028e+00
2.501638594525318e+01 -8.018251679125651e+00 2.018659134218738e+00
2.513274122871949e+01 -7.775950070244563e+00 2.145007057039664e+00
2.524909651218579e+01 -7.519501139432566e+00 2.260618989113940e+00
2.536545179565210e+01 -7.250590893191729e+00 2.357902574102745e+00
2.548180707911840e+01 -6.971801056381861e+00 2.429209792097467e+00
2.559816236258471e+01 -6.686556676661363e+00 2.467879700971923e+00
2.571451764605101e+01 -6.398946734119395e+00 2.469331441817368e+00
2.583087292951732e+01 -6.113429655122843e+00 2.431895800249583e+00
2.594722821298362e+01 -5.834471387100180e+00 2.357107322118279e+00
2.606358349644993e+01 -5.566187116601411e+00 2.249351256342782e+00
2.617993877991623e+01 -5.312056602943388e+00 2.114989246092177e+00
2.629629406338254e+01 -5.074758024425329e+00 1.961250818557816e+00
2.641264934684884e+01 -4.856129125287623e+00 1.795199593219588e+00
2.652900463031515e+01 -4.657233472554876e+00 1.622983325632735e+00
2.664535991378145e+01 -4.478493581767847e+00 1.449434584559335e+00
2.676171519724776e+01 -4.319851944177427e+00 1.277976665757288e+00
2.687807048071406e+01 -4.180929925560184e+00 1.110736480992324e+00
2.699442576418037e+01 -4.061166465447323e+00 9.487636357978088e-01
2.711078104764667e+01 -3.959928977848017e+00 7.922789275875886e-01
2.722713633111298e+01 -3.876596027108235e+00 6.409055295172095e-01
2.734349161457928e+01 -3.810615263798681e+00 4.938610605874659e-01
2.745984689804559e+01 -3.761541596024589e+00 3.501053365370241e-01
2.757620218151189e+01 -3.729060579765797e+00 2.084478204093673e-01
2.769255746497820e+01 -3.713001263790413e+00 6.762297021111024e-02
2.780891274844450e+01 -3.713341674692227e+00 -7.365698762126094e-02
2.792526803191081e+01 -3.730209008318474e+00 -2.166622617786065e-01
2.804162331537711e+01 -3.763875490846222e+00 -3.626093126476101e-01
2.815797859884342e+01 -3.814749789604468e+00 -5.126189811663256e-01
2.827433388230972e+01 -3.883362761928804e+00 -6.676594308115749e-01
2.839068916577603e+01 -3.970345211121968e+00 -8.284642069796265e-01
2.850704444924233e+01 -4.076394207665869e+00 -9.954162148755223e-01
2.862339973270864e+01 -4.202223578885137e+00 -1.168390865824255e+00
2.873975501617494e+01 -4.348493704075401e+00 -1.346557968976727e+00
2.885611029964125e+01 -4.515716364124414e+00 -1.528154561442929e+00
2.897246558310755e+01 -4.704132943994066e+00 -1.710261756438541e+00
2.908882086657386e+01 -4.913569739136248e+00 -1.888647211219010e+00
2.920517615004016e+01 -5.143283044996664e+00 -2.057764176409100e+00
2.932153143350647e+01 -5.391818361995533e+00 -2.211012015375510e+00
2.943788671697277e+01 -5.656919259728882e+00 -2.341337284809489e+00
2.955424200043908e+01 -5.935526285310911e+00 -2.442168940072425e+00
2.967059728390538e+01 -6.223897881338503e+00 -2.508543760857570e+00
2.978695256737169e+01 -6.517860259355356e+00 -2.538143169846057e+00
2.990330785083799e+01 -6.813156792698029e+00 -2.531916661873847e+00
3.001966313430430e+01 -7.105834165422719e+00 -2.494069201625494e+00
3.013601841777060e+01 -7.392588728436482e+00 -2.431410006257170e+00
3.025237370123691e+01 -7.671009802498058e+00 -2.352282776149803e+00
3.036872898470321e+01 -7.939689997661909e+00 -2.265404805169623e+00
3.048508426816952e+01 -8.198209522567511e+00 -2.178899401534630e+00
3.060143955163582e+01 -8.447027066343285e+00 -2.099669268043123e+00
3.071779483510213e+01 -8.687318401018963e+00 -2.033115717437863e+00
3.083415011856843e+01 -8.920798490441982e+00 -1.983117422721421e+00
3.095050540203474e+01 -9.149550599738561e+00 -1.952152865021724e+00
3.106686068550104e+01 -9.375872880770343e+00 -1.941463432256366e+00
3.118321596896735e+01 -9.602142632924329e+00 -1.951184909987308e+00
3.129957125243365e+01 -9.830691963269166e+00 -1.980407905739602e+00
3.141592653589996e+01 -1.006368571160282e+01 -2.027156871847225e+00
3.153228181936626e+01 -1.030299285400402e+01 -2.088303862700047e+00
3.164863710283257e+01 -1.055004602185270e+01 -2.159459972666938e+00
3.176499238629888e+01 -1.080569038489673e+01 -2.234915045912642e+00
3.188134766976518e+01 -1.107003277643740e+01 -2.307718789450592e+00
3.199770295323149e+01 -1.134231323292869e+01 -2.369999443974709e+00
3.211405823669779e+01 -1.162083068381311e+01 -2.413580264094707e+00
3.223041352016409e+01 -1.190295698769445e+01 -2.430867590358267e+00
3.234676880363040e+01 -1.218526353350511e+01 -2.415862690564184e+00
3.246312408709670e+01 -1.246376085433548e+01 -2.365045455383265e+00
3.257947937056301e+01 -1.273422027262050e+01 -2.277861054120944e+00
3.269583465402931e+01 -1.299252032775561e+01 -2.156646674799483e+00
3.281218993749562e+01 -1.323495243842180e+01 -2.006025294678396e+00
3.292854522096192e+01 -1.345843425216707e+01 -1.831968977670587e+00
3.304490050442823e+01 -1.366060821015421e+01 -1.640808025756309e+00
3.316125578789453e+01 -1.383983337073323e+01 -1.438417096826285e+00
3.327761107136084e+01 -1.399509912076203e+01 -1.229695627369582e+00
3.339396635482714e+01 -1.412589617645478e+01 -1.018346434139968e+00
3.351032163829345e+01 -1.423207612288541e+01 -8.068858884604176e-01
3.362667692175975e+01 -1.431372132302334e+01 -5.967975780359404e-01
3.374303220522606e+01 -1.437103723337937e+01 -3.887529743021601e-01
3.385938748869236e+01 -1.440427167084998e+01 -1.828476617702119e-01
3.397574277215867e+01 -1.441366108027450e+01 2.117342858321384e-02
3.409209805562497e+01 -1.439940191638308e+01 2.237097508136884e-01
3.420845333909128e+01 -1.436164504168381e+01 4.251147240276981e-01
3.432480862255758e+01 -1.430051172119047e+01 6.255136087061131e-01
3.444116390602389e+01 -1.421613065708588e+01 8.246232794733366e-01
3.455751918949019e+01 -1.410869593837664e+01 1.021573693344115e+00
3.467387447295650e+01 -1.397854520629135e+01 1.214741911895359e+00
3.479022975642280e+01 -1.382625522049849e+01 1.401624734440251e+00
3.490658503988911e+01 -1.365274800371008e+01 1.578792607296006e+00
3.502294032335541e+01 -1.345939500467257e+01 1.741979208905136e+00
3.513929560682172e+01 -1.324810037681892e+01 1.886357869915559e+00
3.525565089028802e+01 -1.302133991553479e+01 2.007026976583074e+00
3.537200617375433e+01 -1.278213276266487e+01 2.099668028426835e+00
3.548836145722063e+01 -1.253393154028701e+01 2.161265123397718e+00
3.560471674068694e+01 -1.228043328949459e+01 2.190715915859456e+00
3.572107202415324e+01 -1.202533426804286e+01 2.189160296669912e+00
3.583742730761955e+01 -1.177206853291480e+01 2.159922084070889e+00
3.595378259108585e+01 -1.152357575852911e+01 2.108077658557553e+00
3.607013787455216e+01 -1.128213520579463e+01 2.039778283323796e+00
3.618649315801846e+01 -1.104928408865659e+01 1.961507970973057e+00
3.630284844148477e+01 -1.082581782496754e+01 1.879440734416505e+00
3.641920372495107e+01 -1.061185421737600e+01 1.798993916885327e+00
3.653555900841738e+01 -1.040693688859500e+01 1.724597991774693e+00
3.665191429188368e+01 -1.021015443592731e+01 1.659647720112488e+00
3.676826957534999e+01 -1.002025760044736e+01 1.606574454374056e+00
3.688462485881630e+01 -9.835763970382114e+00 1.566978788249435e+00
3.700098014228260e+01 -9.655046157293306e+00 1.541775279235356e+00
3.711733542574891e+01 -9.476404070689302e+00 1.531316941603154e+00
3.723369070921521e+01 -9.298124828271551e+00 1.535481205377036e+00
3.735004599268152e+01 -9.118535330969598e+00 1.553709399340024e+00
3.746640127614782e+01 -8.936053006518646e+00 1.584999157301728e+00
3.758275655961413e+01 -8.749239945987027e+00 1.627855061438593e+00
3.769911184308043e+01 -8.556864688590899e+00 1.680209040316412e+00
3.781546712654674e+01 -8.357974138529562e+00 1.739329764331983e+00
3.793182241001304e+01 -8.151975324819110e+00 1.801749655924032e+00
3.804817769347935e+01 -7.938722827677294e+00 1.863247437547303e+00
3.816453297694565e+01 -7.718602918561592e+00 1.918929210272552e+00
3.828088826041196e+01 -7.492600641072600e+00 1.963445586171335e+00
3.839724354387826e+01 -7.262332801314311e+00 1.991360233675806e+00
3.851359882734457e+01 -7.030030234462686e+00 1.997644975097872e+00
3.862995411081087e+01 -6.798458484364343e+00 1.978226889785833e+00
3.874630939427718e+01 -6.570777222921012e+00 1.930473340064161e+00
3.886266467774348e+01 -6.350352789241271e+00 1.853494568841508e+00
3.897901996120979e+01 -6.140550396272269e+00 1.748182470162580e+00
3.909537524467609e+01 -5.944537968397502e+00 1.616977384468138e+00
3.921173052814240e+01 -5.765129919363393e+00 1.463431417925407e+00
3.932808581160870e+01 -5.604688060442081e+00 1.291683996368008e+00
3.944444109507501e+01 -5.465082786441062e+00 1.105967916849608e+00
3.956079637854131e+01 -5.347705636346544e+00 9.102303738192575e-01
3.967715166200762e+01 -5.253517268873311e+00 7.079053630293561e-01
3.979350694547392e+01 -5.183113211626868e+00 5.018322840770786e-01
3.990986222894023e+01 -5.136791958283130e+00 2.942909119909428e-01
4.002621751240653e+01 -5.114614053966270e+00 8.711508854539184e-02
4.014257279587284e+01 -5.116445078885965e+00 -1.181493782106676e-01
4.025892807933914e+01 -5.141979041504057e+00 -3.200697827642749e-01
4.037528336280545e+01 -5.190741447798782e+00 -5.171551452649458e-01
4.049163864627175e+01 -5.262073475142171e+00 -7.077055771342591e-01
4.060799392973806e+01 -5.355100653272348e+00 -8.896996298175266e-01
4.072434921320436e+01 -5.468691571022772e+00 -1.060738885797184e+00
4.084070449667067e+01 -5.601414459231218e+00 -1.218070165135707e+00
4.095705978013697e+01 -5.751501729642298e+00 -1.358702202684605e+00
4.107341506360328e+01 -5.916833927734369e+00 -1.479622091605453e+00
4.118977034706958e+01 -6.094954052484903e+00 -1.578096127758254e+00
4.130612563053589e+01 -6.283119901446501e+00 -1.652013448031395e+00
4.142248091400219e+01 -6.478395833525783e+00 -1.700207857047625e+00
4.153883619746850e+01 -6.677777148096536e+00 -1.722684942654697e+00
4.165519148093480e+01 -6.878332404186974e+00 -1.720696045176115e+00
4.177154676440111e+01 -7.077344120115092e+00 -1.696636380345376e+00
4.188790204786741e+01 -7.272428250161286e+00 -1.653789331049971e+00
4.200425733133372e+01 -7.461617673582442e+00 -1.595975336307923e+00
4.212061261480002e+01 -7.643402852422393e+00 -1.527179025866191e+00
4.223696789826633e+01 -7.816731110853375e+00 -1.451220068705619e+00
4.235332318173263e+01 -7.980972315266591e+00 -1.371509366436088e+00
4.246967846519894e+01 -8.135861946487307e+00 -1.290904443178594e+00
4.258603374866524e+01 -8.281432786712282e+00 -1.211655584703801e+00
4.270238903213155e+01 -8.417944626961246e+00 -1.135421619750372e+00
4.281874431559785e+01 -8.545818661873771e+00 -1.063330677604537e+00
4.293509959906416e+01 -8.665580475714410e+00 -9.960638299790364e-01
4.305145488253046e+01 -8.777813254865633e+00 -9.339449538730442e-01
4.316781016599677e+01 -8.883121267807324e+00 -8.770260026857157e-01
4.328416544946307e+01 -8.982102695284267e+00 -8.251618159236120e-01
4.340052073292938e+01 -9.075330432176047e+00 -7.780721770127627e-01
4.351687601639568e+01 -9.163339359881139e+00 -7.353911032001377e-01
4.363323129986199e+01 -9.246618667204066e+00 -6.967046007637284e-01
4.374958658332829e+01 -9.325607978177477e+00 -6.615786606706558e-01
4.386594186679460e+01 -9.400696261065530e+00 -6.295793751260638e-01
4.398229715026091e+01 -9.472222705420890e+00 -6.002869223279994e-01
4.409865243372721e+01 -9.540478943937638e+00 -5.733049255726527e-01
4.421500771719352e+01 -9.605712155350023e+00 -5.482664216680893e-01
4.433136300065982e+01 -9.668128713000426e+00 -5.248374144035156e-01
4.444771828412613e+01 -9.727898143621701e+00 -5.027187608630588e-01
4.456407356759243e+01 -9.785157236433093e+00 -4.816469477689835e-01
4.468042885105874e+01 -9.840014198178000e+00 -4.613941609565578e-01
4.479678413452504e+01 -9.892552789272591e+00 -4.417679295535110e-01
4.491313941799135e+01 -9.942836403288664e+00 -4.226105325027180e-01
4.502949470145765e+01 -9.990912069486589e+00 -4.037982838788706e-01
4.514584998492396e+01 -1.003681436843710e+01 -3.852407607489899e-01
4.526220526839026e+01 -1.008056925586200e+01 -3.668799995742606e-01
4.537856055185657e+01 -1.012219779125045e+01 -3.486896614834814e-01
4.549491583532287e+01 -1.016171976683617e+01 -3.306741508545576e-01
4.561127111878918e+01 -1.019915723017539e+01 -3.128676636154212e-01
4.572762640225548e+01 -1.023453789066333e+01 -2.953331398890574e-01
